API name,Main page link,Plan 1 name,Plan 1 link,Does plan 1 have an SLA?,Plan 1 SLA,Plan 2 name,Plan 2 link,Does plan 2 have an SLA?,Plan 2 SLA,Plan 3 name,Plan 3 link,Does plan 3 have an SLA?,Plan 3 SLA,Plan 4 name,Plan 4 link,Does plan 4 have an SLA?,Plan 4 SLA,Plan 5 name,Plan 5 link,Does plan 5 have an SLA?,Plan 5 SLA,Other plans,Metric 1 name,Metric 1 link,Metric 1 description,Is metric 1 domain dependent?,Does metric 1 have an explicit window?,Metric 1 window,Metric 2 name,Metric 2 link,Metric 2 description,Is metric 2 domain dependent?,Does metric 2 have an explicit window?,Metric 2 window,Metric 3 name,Metric 3 link,Metric 3 description,Is metric 3 domain dependent?,Does metric 3 have an explicit window?,Metric 3 window,Metric 4 name,Metric 4 link,Metric 4 description,Is metric 4 domain dependent?,Does metric 4 have an explicit window?,Metric 4 window,Metric 5 name,Metric 5 link,Metric 5 description,Is metric 5 domain dependent?,Does metric 5 have an explicit window?,Metric 5 window,Other metrics,Implicit metrics,Implicit metric description
Herokuapp,https://devcenter.heroku.com/categories/platform-api,Free,,No,,,,,,,,,,,,,,,,,,,Requests Each User Can Make Per Hour,https://devcenter.heroku.com/articles/platform-api-reference#overview hacer scroll hasta Rate Limits,"The API limits the number of requests per hour that a user can do to protect the API of abuse and codes full of ""buggycodes"" errors. Each account has a point deposit ""Tokens"" of requests, with 4500 tokens initially. 75 tokens are added every minute until it is coming back to the maximum of 4500. If many requests are made and said deposit is emptied, the error code 429 is returned, since we have done so many requests once we have emptied the deposit . On the other hand we can know how many tokens we are looking at the Endpoint Rate Limit (requests to this do not compute to remove tokens)",Not sure,No,,Largue List Requests truncated,https://devcenter.heroku.com/articles/platform-api-reference#overview hacer scroll hasta Ranges.,"The API limits the number of elements that are returned in a list, in such a way that a response from the API which is a list will be by default 200 elements and 1000 at most. If more than those 1000 items we will receive a status code 206 indicating that the return list is a partial list (part of a larger list) and that to access the other data of that list we must make use of the Parameters that are mentioned ... (Order, Max and Range)",Not sure,No,,,,,,,,,,,,,,,,,,,,,No,
htm2pdf,https://www.htm2pdf.co.uk/plans-and-pricing/,Starter,https://www.htm2pdf.co.uk/plans-and-pricing/,Yes,Email support,Professional,https://www.htm2pdf.co.uk/plans-and-pricing/,Yes,Email support,Advanced,https://www.htm2pdf.co.uk/plans-and-pricing/,Yes,Priority email support,Private server,https://www.htm2pdf.co.uk/plans-and-pricing/,Yes,Custom support,,,,,,Credits,https://www.htm2pdf.co.uk/plans-and-pricing/,Maximum number of credits available,Yes,No,,Time Creation PDF,https://www.htm2pdf.co.uk/terms-of-service/,The creation time of a PDF can not be greater than 60 seconds,Yes,No,,Number of connections,https://www.htm2pdf.co.uk/terms-of-service/,Number of connections to the server from the same computer / server,No,No,,,,,,,,,,,,,,,No,
Hubspot,https://www.hubspot.es,Free,https://www.hubspot.es/pricing/marketing?term=annual&edition=starter&products=marketing-hub-starter_1,No,,STARTER,https://www.hubspot.es/pricing/marketing?products=marketing-hub-starter_1&term=monthly,No,,PRO,https://www.hubspot.es/pricing/marketing?products=marketing-hub-starter_1&term=monthly,Yes,Phone support,ENTERPRISE,https://www.hubspot.es/pricing/marketing?products=marketing-hub-starter_1&term=monthly,Yes,Phone support,,,,,,Mail marketing,https://www.hubspot.es/pricing/marketing?products=marketing-hub-starter_1&term=monthly,Depending on the plan you hire let you make a certain number of shipments per month.,Not sure,No,,Multiple currencies,https://www.hubspot.es/pricing/marketing?products=marketing-hub-starter_1&term=monthly,It tells you the number of currencies with which you can work,Yes,No,,Marketing automation,https://www.hubspot.es/pricing/marketing?products=marketing-hub-starter_1&term=monthly,"Automate your tasks, email marketing, social networks and ads. Develop an excellent customer tour using an intuitive visual editor.",Yes,No,,,,,,,,,,,,,,,No,
IconFinder,https://www.iconfinder.com/,Basic,https://www.iconfinder.com/api-solution,Yes,Customer support by email (48-hour SLA). Integration and ongoing technical support. 99% uptime.,Professional,https://www.iconfinder.com/api-solution,Yes,Customer PRIORITY SUPPORT by email (48-hour SLA). Integration and ongoing technical support. 99% uptime.,Enterprise ,https://www.iconfinder.com/api-solution,Yes,Customer PRIORITY & TECH SUPPORT by email (48-hour SLA). Integration and ongoing technical support. 99% uptime.,,,,,,,,,,Requests per month,https://www.iconfinder.com/api-solution,"According to the contracted plan, there are more or less requests to the API per month Free: 50,000, Professional: 500,000, Enterprise: Unlimited",No,No,,Request Limit Per Minute,https://www.iconfinder.com/api-solution,Maximum number of requests per minute,No,No,,,,,,,,,,,,,,,,,,,,,No,
Ilove PDF,https://www.ilovepdf.com/es,Free,https://www.ilovepdf.com/es/precio,No,,Premium,https://www.ilovepdf.com/es/precio,Yes,Contact form support,Business,https://www.ilovepdf.com/es/precio,Yes,Dedicated hardware and customer support,,,,,,,,,,File size per task,https://www.ilovepdf.com/es/precio,Maximum file size that can support a task (eg: joble PDFS),Yes,No,,Processing in Loto,https://www.ilovepdf.com/es/precio,Number of files with which you can operate in batches.,Yes,Yes,"The batch of files does not accumulate up to a stop, but each time a batch of files is started, you have the same maximum number of files available to send.",Equipment,https://www.ilovepdf.com/es/precio,Number of users that can be added to the computer,No,Not sure,,Digital signature,https://www.ilovepdf.com/es/precio,Certify the document with a qualified time sealed to ensure the integrity of the signed document.,Not sure,Not sure,,,,,,,,,Yes,"Limitation of API to Process Request (Error 429), https://developer.ilovepdf.com/docs/apireference"
Infusionsoft,https://keap.com/,Lite,https://keap.com/pricing,Yes,Platform and migration support,Pro,https://keap.com/pricing,Yes,Platform and migration support,Max,https://keap.com/pricing,Yes,Platform and migration support,,,,,,,,,,Contacts,https://keap.com/pricing,Maximum number of contacts by plan,Yes,No,,Users,https://keap.com/pricing,Maximum number of users per plan,No,No,,,,,,,,,,,,,,,,,,,,,No,
Inoreader,https://www.inoreader.com/,Free,https://www.inoreader.com/pricing,No,,Supporter ,https://www.inoreader.com/pricing,No,,Pro,https://www.inoreader.com/pricing,No,,Custom ,https://www.inoreader.com/pricing,No,,,,,,,MAXIMUM SUBSCRIPTIONS,https://www.inoreader.com/pricing,Maximum number of selected subscriptions,Yes,No,,Search In Your Subscriptions,https://www.inoreader.com/pricing,Content searches on the subscribed feeds,Yes,Not sure,,"Social Media Intelligence (Facebook, Twitter, Vkontakte)",https://www.inoreader.com/pricing,Number of subscriptions to other social networks to have other sources of news,Yes,No,,Get Articles Faster with Boosted Feeds,https://www.inoreader.com/pricing,Maximum number of feeds driven to get items faster,Yes,No,, Daily Email Digests For You And Your Co-Workers,https://www.inoreader.com/pricing,Number of emails received as summaries of content,Yes,No,,"Keyword Monitoring with Active Searches, https://www.inoreader.com/pricing, Maximum number of active keyword searches, yes, no,
Remove Identical Content with Duplicate Filters, https://www.inoreader.com/pricing, number of displays of duplicate content in the feed, yes, no,
Remove OR Allow Content with Feed Filters, https://www.inoreader.com/PriCring, maximum number of disposable or hidden content with filters, yes, no",Yes,"Limitation of speed in requests to back-end, https://www.inoreader.com/developers/rate-limiting"
Keywordtool,https://keywordtool.io/es,Pro Basic,https://keywordtool.io/es/pro,No,,Pro Plus,https://keywordtool.io/es/pro,No,,Pro Business,https://keywordtool.io/es/pro,No,,,,,,,,,,,Keywords,https://keywordtool.io/es/pro,words per day that can be used,Yes,No,,API Requests/Day,https://keywordtool.io/es/pro,Number of requests per day,No,No,,User Accounts,https://keywordtool.io/es/pro,Maximum number of user accounts allowed,No,No,,,,,,,,,,,,,,,Yes,"All subscriptions to the Keyword Tool API are limited to 10 API requests per minute, https: //docs.keywordtool.io/docs/limits"
Lob,https://www.lob.com/,Developer,https://www.lob.com/pricing/print-mail,No,,Startup,https://www.lob.com/pricing/print-mail,No,,Growth,https://www.lob.com/pricing/print-mail,No,,Enterprise,https://www.lob.com/pricing/print-mail,Yes,99.9% availability,,,,,,# Of Users,https://www.lob.com/pricing/print-mail,Number Maximum Users,No,No,,# of html templates,https://www.lob.com/pricing/print-mail,HTML Templates,Yes,No,,# Of Webhooks,https://www.lob.com/pricing/print-mail,Notifications WebHook.,Yes,No,,# Of Address Book Entries,https://www.lob.com/pricing/print-mail,Number of addresses that you can store,Yes,No,,Maximum # of Mailings,https://www.lob.com/pricing/print-mail,Maximum number of mail,Yes,No,,"Lob Delivery Network Level, https://www.lob.com/pricing/print-mail, network quality and servers, yes, no ,,",Yes,429 TOOMANY REQUESTS (https://docs.lob.com/#ERRORRORS)
Mailchimp,https://mailchimp.com/pricing/compare-plans/,Premium,https://mailchimp.com/es/pricing/premium-details/,Yes,"Technical support, phone support, 24/7 support through live chat, knowledge database",Standard,https://mailchimp.com/es/pricing/standard-details/,Yes,"Permanent support (phone, live chat, knowledge database)",Essentials,https://mailchimp.com/es/pricing/essentials-details/,Yes,"Permanent support (phone, live chat, knowledge database)",Free,https://mailchimp.com/es/pricing/free-details/,Yes,30 days phone support,,,,,,Contacts,https://mailchimp.com/es/pricing/marketing/compare-plans/,Number of maximum contacts that you can have registered,Yes,No,,Public,https://mailchimp.com/es/pricing/marketing/compare-plans/, Public number allowed. For the Premium Plan it is unlimited,No,No,,Posts,https://mailchimp.com/es/pricing/marketing/compare-plans/,Available posts depending on the subscription,No,No,,Post/Month,https://mailchimp.com/es/pricing/marketing/compare-plans/,Number of emails that can be sent every month,Yes,No,,Messages/Day,https://mailchimp.com/es/pricing/premium-details/,It is located just below the price table. Specify the number of emails that can be sent per day depending on the subscription.,Yes,No,,,No,I have investigated the API and I have not found anything that limits requests in a non-explicit way if a priori no.
MapQuest,https://developer.mapquest.com/,Free,https://developer.mapquest.com/plan_purchase/steps/business_edition/business_edition_free/register,No,,Basic,https://developer.mapquest.com/plan_purchase/steps/business_edition/business_edition_basic/register,No,,Plus,https://developer.mapquest.com/plan_purchase/steps/business_edition/business_edition_plus/register,No,,Business,https://developer.mapquest.com/plan_purchase/steps/business_edition/business_edition_business/register,No,,Business Plus,https://developer.mapquest.com/plan_purchase/steps/business_edition/business_edition_business_plus/register,No,,,Transactions,https://developer.mapquest.com/faq#reporting,A transaction is when a geolocation request is made in which the map is varied in some way,Yes,No,,Overage,https://developer.mapquest.com/faq,"There is an optional surplus capacity. If you opt for surpluses once you reach the total transactions, you will be billed in increments of 10% up to 150% of the total monthly plan. If you reach 150% of the quota, it will automatically update the following plan",Yes,No,,,,,,,,,,,,,,,,,,,,,Not sure,
Meaningcloud,https://www.meaningcloud.com/es,Free,https://www.meaningcloud.com/es/productos/precios,Yes,99.9% availability,Start-up,https://www.meaningcloud.com/es/productos/precios,Yes,99.9% availability,Professional,https://www.meaningcloud.com/es/productos/precios,Yes,99.9% availability,Business,https://www.meaningcloud.com/es/productos/precios,Yes,99.9% availability,Enterprise,https://www.meaningcloud.com/es/productos/precios,Yes,99.9% availability,,Requests/month,https://www.meaningcloud.com/es/productos/precios,"At Free 20000, in Start-up 120000, in Professional 700000, in Business 4200000 and in Enterprise tailored requests per month",No,No,,Requests per second,https://www.meaningcloud.com/es/productos/precios,"Free 2, Start-up 5, Professional 10, Business 15, Enterprise tailored P / S",No,No,,Petition by words,https://www.meaningcloud.com/es/productos/precios,It depends on the language and the type of API,No,No,,Tickets per dictionary,https://www.meaningcloud.com/es/productos/precios,"100, 1000, 300, 600, to measure, according to plan",Yes,No,,,categorias por modelo,"10, 50, 100, 200, custom",Yes,No,,,No,
Mediafire,https://www.mediafire.com/,Basic,https://www.mediafire.com/upgrade/?promo=1&,No,,Pro,https://www.mediafire.com/upgrade/?promo=1&,Yes,"Long-term storage, One-time links",Business,https://www.mediafire.com/upgrade/?promo=1&,Yes,"Long-term storage, One-time links",,,,,,,,,,SPACE OF STORAGE,https://www.mediafire.com/upgrade/?promo=1&,Quantity of file storage offered by API,Yes,No,,Users,https://www.mediafire.com/upgrade/?promo=1&,Maximum number of users,No,No,,Number of One-Time Links,https://www.mediafire.com/upgrade/?promo=1&,Maximum number of One-Time Links.,No,No,,MAXIMUM FILE SIZE,https://www.mediafire.com/upgrade/?promo=1&,Maximum file size to be stored,Yes,No,,Nested folder limit,https://www.mediafire.com/developers/core_api/1.5/getting_started/,The limit of nested folders can not be superior to x,Not sure,No,,"Number of requests, https: //www.mediafire.com/developers/core_api/1.5/getting_started/, Maximum number of requests achieved, no, no",Not sure,"163: error_access_limit_reached, is analogue to error code 429, https: //www.mediafire.com/developers/core_api/1.5/getting_started/"
Medium,https://medium.com/,Monthly,https://medium.com/plans,Yes,"No ads, maximum API visibility",Annual,https://medium.com/plans,Yes,"No ads, maximum API visibility",Partner Program,https://medium.com/earn,Not sure,,,,,,,,,,,Stories,https://medium.com/earn,Number of stories that can be read per month,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
Merriam-webster,https://www.dictionaryapi.com/,Free API,https://www.dictionaryapi.com/,No,,Commercial Use,https://www.dictionaryapi.com/,No,,,,,,,,,,,,,,,Queries per day,https://www.dictionaryapi.com/,Maximum number of petitions per day,No,Yes,Restart at 00:00 every day,API Keys,https://www.dictionaryapi.com/info/frequently-asked-questions,Maximum number of API keys facilitated by the Supplier,No,No,,,,,,,,,,,,,,,,,,,,,No,
Mixcloud,https://www.mixcloud.com/,MixCloud Pro,https://www.mixcloud.com/pro/,No,,,,,,,,,,,,,,,,,,,Uploads,https://www.mixcloud.com/upload/,Number of streaming audios that they can load.,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
moz,https://moz.com/products/api,Entry level,https://moz.com/products/api/pricing,No,,Low volume,https://moz.com/products/api/pricing#pricing-table,No,,Mid volume,https://moz.com/products/api/pricing#pricing-table,No,,Enterprise,https://moz.com/products/api/pricing#pricing-table,,,,,,,,Rows per Month,https://moz.com/products/api/pricing#pricing-table,"The number of ranks used by calls (calls) is determined by the ""endpoint"" of the request (Request).",No,No,,Call Rate Limit,https://moz.com/products/api/pricing#pricing-table,Requests for seconds,No,No,,Global Top Pages,https://moz.com/help/links-api/making-calls/global-top-pages#limits,"This Endpoint Returns The Top 500 Pages in the Entire Index With The Highest Page Authority VALUES, SORTED by Page Authority.",No,No,,Link intersect,https://moz.com/help/links-api/making-calls/link-intersect#limits,"Number of results per ""query"" performed.",No,No,,,,,,,,,No,
Musixmatch,https://developer.musixmatch.com/,Free,https://developer.musixmatch.com/plans,No,,Plus,https://developer.musixmatch.com/plans,No,,,,,,,,,,,,,,,API CALLS,https://developer.musixmatch.com/plans,Limit of requests,Yes,No,,Lyric Access,https://developer.musixmatch.com/plans,Percentage of access to lyrics,Yes,No,,,,,,,,,,,,,,,,,,,,,Yes,402 Limit of petitions per day or insufficient balance (https://developer.musixmatch.com/documentation/status-codes)
Namecheap,https://www.namecheap.com/, Stellar,https://www.namecheap.com/hosting/shared/,Yes,24/7 expert chat,Stellar Plus,https://www.namecheap.com/hosting/shared/,Yes,24/7 expert chat,Stellar Business,https://www.namecheap.com/hosting/shared/,Yes,24/7 expert chat,Nebula,https://www.namecheap.com/hosting/reseller/,Yes,24/7 expert chat,Galaxy Expert,https://www.namecheap.com/hosting/reseller/,Yes,24/7 expert chat,"Universe Pro, https://www.namecheap.com/hosting/reseller/, Yes, 24/7 expert chat.  https://www.namecheap.com/hosting/?type=featured .  

EasyWP Starter, https://www.namecheap.com/wordpress/, Yes, 24/7 expert chat.  https://www.namecheap.com/hosting/?type=featured .  

EasyWP Turbo, https://www.namecheap.com/wordpress/, Yes,  24/7 expert chat.  https://www.namecheap.com/hosting/?type=featured .  

EasyWP Supersonic,  https://www.namecheap.com/wordpress/, Yes,  24/7 expert chat.  https://www.namecheap.com/hosting/?type=featured .",50K Visitors / Month,https://www.namecheap.com/wordpress/,Maximum number of visitors per month in WordPress accommodation,Yes,No,,Backups,https://www.namecheap.com/hosting/shared/,The number of backup copies a week is limited to two,No,No,,Hosted Domains,https://www.namecheap.com/hosting/shared/,Maximum number of domains that can be had with a plan. Increase according to the plan,Yes,No,,Disk Space,https://www.namecheap.com/hosting/shared/,"It refers to the amount of space to store the files of your website, databases, emails and more. All our web servers are protected by RAID with redundant hard disks tolerant.",Yes,No,,FTP Users,https://www.namecheap.com/hosting/shared/,"Number of users that can be created in their account to use the FTP connection. It allows you to connect to the server, upload / look through the files loaded to the server.",Yes,No,,,No,
Npr,https://dev.npr.org/,Authorization Service,https://dev.npr.org/guide/services/authorization/,No,,LISTENING SERVICE,https://dev.npr.org/guide/services/listening/,No,,Identity Service,https://dev.npr.org/guide/services/identity/,No,,Station Finder Service,https://dev.npr.org/guide/services/station-finder/,No,,,,No,,,Process NPR OAuth,https://dev.npr.org/guide/services/authorization/,Previous registration to get access to the API,No,No,,API credentials,https://dev.npr.org/apply/,Personal accounts are intended only for non-commercial use,No,No,,Terms of the API,https://dev.npr.org/guide/prerequisites/terms-of-use/,You can not use the Developer API and can not accept the terms of the Developer API if it is not of legal age,No,No,,User registration,https://dev.npr.org/guide/prerequisites/terms-of-use/,"NPR has the right, at your discretion, to limit the registration, stop registering new users or revoking the record at any time",No,No,,Application conditions,https://dev.npr.org/guide/prerequisites/terms-of-use/,NPR will not distribute its applications to others or allow or facilitate the use of their applications by another person,No,No,,,Yes,"The client has exceeded the number of daily calls according to their tariff limit. For now, this only applies to prototype applications and customers who are not trusted. Trusted customers will never have a limited rate, nor production applications."
Nutritionix,https://www.nutritionix.com/,Hacker,https://www.nutritionix.com/business/api,No,,Starter,https://www.nutritionix.com/business/api,Yes,99.9% availability,MVP,https://www.nutritionix.com/business/api,Yes,99.9% availability,Unicorn,https://www.nutritionix.com/business/api,Yes,99.9% availability,,,,,,Active users,https://www.nutritionix.com/business/api,Number of active users carrying out a request API in a period of 30 days,No,Yes,The API is invoiced based on the number of End-Users that have accessed its application in the last 30 days.,Natural language engine,https://www.nutritionix.com/business/api,Analyze exercise and free food consultations,Yes,No,,Scanning the barcode,https://www.nutritionix.com/business/api,Scan a barcode and access the most robust bar code database in the world.,Yes,No,,Restaurant geolocation API,https://www.nutritionix.com/business/api,Search using latitude and longitude coordinates to find the closest restaurants with available nutrition information.,Yes,No,,Cache storage allowed,https://www.nutritionix.com/business/api,It is allowed to cache the information of a user's food with the simple story reference purpose,No,No,,"Request addition to the database, https://www.nutritionix.com/business/api, request add a personalized meal to the natural language engine or the database, yes, no

Attribution requirement, https://www.nutritionix.com/business/api, the attribute ""Powered by Nutritionix"" is required in any interface that uses the API, yes, no

Support, https://www.nutritionix.com/business/api, support for other services, no, yes, you can use email and phone",Not sure,
Okta,https://www.okta.com/pricing/,Developer,https://www.okta.com/pricing/#it-advanced-server-access,No,,One App,https://www.okta.com/pricing/#it-advanced-server-access,Yes,SLA guarantee,Enterprise,https://www.okta.com/pricing/#it-advanced-server-access,Yes,SLA guarantee,,,No,,,,No,,,User capacity,https://www.okta.com/pricing/#it-advanced-server-access,Maximum number of monthly active users,No,No,,OIDC customers,https://www.okta.com/pricing/#it-advanced-server-access,Maximum number of users who can log in securely,No,No,,SAML applications,https://www.okta.com/pricing/#it-advanced-server-access,Maximum number of single sign-on services,No,No,,,,,No,No,,,,,No,No,,,Yes,The code 429 is returned but the number of requests is not specified
Onesignal,https://onesignal.com/,Free,https://onesignal.com/pricing,No,,Growth,https://onesignal.com/pricing,No,,Professional,https://onesignal.com/pricing,No,,Enterprise,https://onesignal.com/pricing,Yes,Not specified,,,,,,Push Notifications,https://onesignal.com/pricing,The times you can send push notifications to users,Yes,No,,Audience Segments,https://onesignal.com/pricing,Average age groups available,Yes,No,,Data Tags,https://onesignal.com/pricing,Data tags,No,No,,Active Automated Workflows,https://onesignal.com/pricing,Automated functions such as messages,Yes,No,,Integrations,https://onesignal.com/pricing,Integrations with other APIs,No,No,,,No,
OpenWeatherMap,https://openweathermap.org/,Free,https://openweathermap.org/price,Yes,95% availability,Startup,https://openweathermap.org/price,Yes,95% availability,Developer,https://openweathermap.org/price,Yes,99.5% availability,Professional,https://openweathermap.org/price,Yes,99.5% availability,Enterprise,https://openweathermap.org/price,Yes,99.5% availability,,API CALLS,https://openweathermap.org/full-price#current,Petitions per day / month,No,Not sure,,Bulk downloading,https://openweathermap.org/bulk,"Allows to periodically download current, forecast and historical meteorological data in JSON format",No,No,,Weather Triggers,https://openweathermap.org/triggers,"Create triggers that will be activated when the selected climatic conditions (temperature, humidity, pressure, etc.) occur in a specific period of time.",Yes,No,,Global Precipitation Map,https://openweathermap.org/api/global-precipitation-map,Get current and historical global precipitation meteorological maps through the API,Yes,No,,Relief Maps,https://openweathermap.org/api/relief,It allows obtaining maps in relief from around the world.,Yes,No,,,No,
Oxforddictionaries,https://developer.oxforddictionaries.com/,Prototype,https://developer.oxforddictionaries.com/,Not sure,,Developer,https://developer.oxforddictionaries.com/,Not sure,,Enterprise,https://developer.oxforddictionaries.com/,Not sure,,,,,,,,,,,Requests per minute,https://developer.oxforddictionaries.com/faq,"Prototype 60, Developer 500",No,No,,Requests per month,https://developer.oxforddictionaries.com/faq,1000 Unlimited Protoype Developer,No,No,,Data access,https://forum.oxforddictionaries.com/api/discussion/310/api-plan-descriptions,"Custom business, Prototype Limited data 500 calls per minute and developer 28 data sets",Yes,No,,,,,,,,,,,,,,,Yes,503 Overloaded Services https://developer.oxforddictions.com/documentation/Response-codes
Pastebin,https://pastebin.com/,Guest,https://pastebin.com/,No,,Registered user,https://pastebin.com/,Not sure,,Pro member,https://pastebin.com/pro,No,,,,,,,,,,,Syntax Highlights,https://pastebin.com/doc_api,API formats,Yes,Not sure,,Paste,https://pastebin.com/,Every post you can do,Yes,Yes,https://pastebin.com/faq#11a,,,,,,,,,,,,,,,,,,,,Yes,Public and private posts
Pcloud,https://www.pcloud.com,Individual plan,https://www.pcloud.com/es/cloud-storage-pricing-plans.html,Not sure,,Family plan,https://www.pcloud.com/es/family.html,Not sure,,Business plan,https://www.pcloud.com/es/business.html,No,,,,,,,,,,,2 TB Share Traffic Link,https://www.pcloud.com/es/cloud-storage-pricing-plans.html,Generated when people do stream or download,No,Not sure,,Up to 5 users,https://www.pcloud.com/es/family.html,Share up to 5 family members,No,No,,30 Days of Recycle Bin History,https://www.pcloud.com/es/family.html,Rastere and restore oldest versions of files,Yes,No,,,,,,,,,,,,,,,No,
photobucket,https://app.photobucket.com/,Beginner,https://app.photobucket.com/explore,No,,Intermediate,https://app.photobucket.com/explore,No,,Expert,https://app.photobucket.com/explore,No,,Free trial,https://app.photobucket.com/explore,No,,,,,,,Photos,https://app.photobucket.com/explore,Number of photos,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
Pons,http://en.pons.com/assets/docs/api_dict.pdf,Free,http://en.pons.com/assets/docs/api_dict.pdf,No,,,,,,,,,,,,,,,,,,,Language,http://en.pons.com/assets/docs/api_dict.pdf,Describe what languages ​​supports the application.,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Limit daily reached, code 503. Link: http://en.pons.com/assets/docs/api_dict.pdf"
Pricejson,https://www.pricejson.com/,Free,https://www.pricejson.com/,No,,$0.05,https://www.pricejson.com/,No,,$0.03,https://www.pricejson.com/,No,,$0.015,https://www.pricejson.com/,No,,Contact sales,https://www.pricejson.com/,Not sure,,,API CALLS,https://www.pricejson.com/,Limit call to the API,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Maximum number of requests to the API, https://www.pricejson.com/"
ProductHunt,https://www.producthunt.com/ship,Basic,https://www.producthunt.com/ship,No,,Pro,https://www.producthunt.com/ship,Yes,Email form,Super Pro,https://www.producthunt.com/ship,Yes,Email form,,,No,,,,No,,,Message,https://www.producthunt.com/ship,Maximum number of messages,No,No,,Projects,https://www.producthunt.com/ship,Maximum number of projects,No,No,,Requests,https://api.producthunt.com/v2/docs/rate_limits/headers,Maximum number of requests for minutes,No,No,,,,,No,No,,,,,No,No,,,No,
Protexting Sms,https://www.protexting.com/,Worldwide Starter,https://www.protexting.com/messaging-pricing-spain.html,Not sure,,Economy,https://www.protexting.com/pricing.html,Not sure,,Standard,https://www.protexting.com/pricing.html,Not sure,,Business,https://www.protexting.com/pricing.html,Not sure,,Corporate,https://www.protexting.com/pricing.html,Not sure,,,Credits and Keyword,https://www.protexting.com/pricing.html,1000 Outgoing text messages and 1 keyword,Yes,Yes,https://www.protexting.com/faq.html,Credits and Keyword,https://www.protexting.com/pricing.html,1700 Outgoing text messages and 2 keyword,Yes,Yes,https://www.protexting.com/faq.html,Credits and Keyword,https://www.protexting.com/pricing.html,3300 outgoing text messages and 4 keyword,Yes,Yes,https://www.protexting.com/faq.html,Credits and Keyword,https://www.protexting.com/pricing.html,6700 outgoing text messages and 6 keyword,Yes,Yes,https://www.protexting.com/faq.html,Credits and Keyword,https://www.protexting.com/pricing.html,11000 Outgoing text messages and 8 keyword,Yes,Yes,https://www.protexting.com/faq.html,,Not sure,
Pushwoosh,https://www.pushwoosh.com/,Developer,https://www.pushwoosh.com/pushwoosh_detailed_pricing.pdf,Yes,Email support,Marketing,https://www.pushwoosh.com/pushwoosh_detailed_pricing.pdf,Yes,Email support,Custom Plan,https://www.pushwoosh.com/pushwoosh_detailed_pricing.pdf,Yes,Email support,Enterprise,https://www.pushwoosh.com/pushwoosh_detailed_pricing.pdf,Yes,24/7 priority support with Dedicated CSM manager,,,,,,Subscribed users,https://www.pushwoosh.com/pushwoosh_detailed_pricing.pdf,Maximum number of users subscribed to your campaign according to the plan,Yes,No,,Free emails,https://www.pushwoosh.com/pushwoosh_detailed_pricing.pdf,Maximum number of emails that can be sent for free a month,Yes,No,,Outgoing notifications,https://www.pushwoosh.com/pushwoosh_detailed_pricing.pdf,Maximum number of notifications that can be sent according to the selected plan,No,No,,Rich Media,https://www.pushwoosh.com/pushwoosh_detailed_pricing.pdf,Available media according to the selected plan,No,No,,Paltforms Support,https://www.pushwoosh.com/pushwoosh_detailed_pricing.pdf,Number of platforms in which support and operability is given,No,No,,,Yes,Number of devices available in which to perform tests
Quickblox,https://quickblox.com/,Basic,https://quickblox.com/pricing/,No,,Startup,https://quickblox.com/pricing/,No,,Growth,https://quickblox.com/pricing/,No,,HIPAA Cloud,https://quickblox.com/pricing/,No,,Enterprise,https://quickblox.com/pricing/,No,,,Data Retention,https://quickblox.com/pricing/,The retention of data,Yes,No,,Total Users,https://quickblox.com/pricing/,Number of users supporting,Yes,No,,File Size Limit,https://quickblox.com/pricing/,file size limit,Yes,No,,,,,,,,,,,,,,,Yes,"API requests per second (on account), https://docs.quickblox.com/reference/limits"
Recurly,https://recurly.com/,Core,https://recurly.com/plans/,Yes,Chat-based support 24/7,Professional,https://recurly.com/plans/,Yes,Phone and online support 24/7,Elite,https://recurly.com/plans/,Yes,Dedicated customer success manager,,,,,,,,,,Users,https://recurly.com/plans/,Minimum number of users per plan,No,No,,Custom Fields,https://recurly.com/plans/,Minimum number of custom fields,No,No,,Annual Subscription Billing,https://recurly.com/plans/,Minimum billing to get a plan,Yes,No,,Supported Payment Gateways,https://recurly.com/plans/,Minimum number of compatible payment gateways,No,No,,,,,,,,,No,
